type,name,notice,furigana
もやせる,空きびん（飲食用以外）,割れたびんは紙等に包み、注意と明記して出してください。,あ
もやせる,油（植物性油）,廃食油を固める製品等を使用したり、布や新聞紙等にしみこませるなどして、もやせるごみに出してください。,あ
もやせる,アルミ箔,,あ
もやせる,あんか（金属以外）,,あ
もやせる,色えんぴつ,,い
もやせる,植木鉢,,う
もやせる,枝木（剪定枝）,,え
もやせる,絵の具（チューブ）,,え
もやせる,MD,,え
もやせる,えんぴつ,,え
もやせる,オガライト,,お
もやせる,おむつ,汚物は取り除いて出してください。,お
もやせる,おもちゃ（金属製以外）,,お
もやせる,カーテン,,か
もやせる,カーペット,,か
もやせる,懐中電灯,,か
もやせる,花器,,か
もやせる,カセットテープ,,か
もやせる,合羽,,か
もやせる,花瓶,,か
もやせる,カップ麺の調味料・かやく袋,きれいに洗うことが困難なため、もやせるごみで出してください。,か
もやせる,かばん,,か
もやせる,紙おむつ,汚物は取り除いて出してください。,か
もやせる,紙コップ（表示なし）,,か
もやせる,ガラス製品,紙等に包み、「注意」と明記してください。,か
もやせる,木くず,,き
もやせる,急須,,き
もやせる,草,泥を除いて出してください。,く
もやせる,靴,,く
もやせる,クリアファイル,,く
もやせる,クリップ（金属製以外）,,く
もやせる,蛍光灯,[ごみ袋の底から持ち手部分までの長さ＋3ｃｍ]までの長さの蛍光管が出せます。,け
もやせる,蛍光ペン,,け
もやせる,計量カップ（金属以外）,,け
もやせる,消しゴム,,け
もやせる,化粧品のびん,,け
もやせる,ケチャップのチューブ,きれいに洗うことが困難なため、もやせるごみで出してください。,け
もやせる,コップ（ガラス・陶磁器）,,こ
もやせる,皿,,さ
もやせる,サンダル,,さ
もやせる,CD,,し
もやせる,下着類,,し
もやせる,シーツ,,し
もやせる,シャープペン,,し
もやせる,じゅうたん,,し
もやせる,食用油（植物油）,廃食油を固める製品等を利用してもやせるごみに出してください。,し
もやせる,食器（金属製以外）,,し
もやせる,スキー板,袋に入らないものは粗大ごみで申し込んでください。（電話27‐1570）,す
もやせる,スティック,,す
もやせる,ズック,,す
もやせる,ストッキング,,す
もやせる,炭,,す
もやせる,スリッパ,,す
もやせる,石灰,,せ
もやせる,洗顔料のチューブ,きれいに洗うことが困難なため、もやせるごみに出してください。,せ
もやせる,タオル,,た
もやせる,茶碗,,ち
もやせる,調味料の小袋,,ち
もやせる,チューブ容器,,ち
もやせる,杖（金属製以外）,,つ
もやせる,電気カーペット,,て
もやせる,電気毛布,,て
もやせる,電球,紙等に包み、「注意」と明記してください。,て
もやせる,陶磁器,,と
もやせる,納豆の容器,きれいに洗うことが困難なため、もやせるごみに出してください。,な
もやせる,なべのふた（金属製以外）,,な
もやせる,生ごみ,水分をよく切って出してください。,な
もやせる,塗薬のチューブ,きれいに洗うことが困難なため、もやせるごみに出してください。,ぬ
もやせる,猫砂,,ね
もやせる,糊,,の
もやせる,灰,水分を含ませてもやせるごみで出してください。,は
もやせる,箸（木製・金属製以外）,,は
もやせる,発泡スチロール（プラ製マークのないもの）,,は
もやせる,花火,水を含ませて出してください。,は
もやせる,はみがきのチューブ,きれいに洗うことが困難なため、もやせるごみに出してください。,は
もやせる,ハンドクリームの容器,きれいに洗うことが困難なため、もやせるごみに出してください。,は
もやせる,ビデオテープ,,ひ
もやせる,ビニールホース,ほどけないよう束ねてしばって、指定袋に入れて出してください。,ひ
もやせる,びん（飲食料用以外）,,ひ
もやせる,びんのふた（上記以外）,,ひ
もやせる,フィルム（ネガ）,,ふ
もやせる,ブーツ,,ふ
もやせる,筆ペン,,ふ
もやせる,布団,,ふ
もやせる,布団カバー,,ふ
もやせる,風呂のふた,指定袋の持ち手から底までの長さを超える大きさのものは、粗大ごみで出してください。,ふ
もやせる,ベッドカバー,,へ
もやせる,ペットのふん,,へ
もやせる,ヘルメット,,へ
もやせる,弁当箱（上記以外）,,へ
もやせる,ボウリングの球,,ほ
もやせる,ホース,ほどけないよう束ねてしばって、指定袋に入れて出してください。,ほ
もやせる,ポリタンク,,ほ
もやせる,ボールペン,,ほ
もやせる,マジック,,ま
もやせる,マヨネーズのチューブ,きれいに洗うことが困難なため、もやせるごみに出してください。,ま
もやせる,メガネ（プラスチック製）,,め
もやせる,メガネケース,,め
もやせる,メガネレンズ,,め
もやせる,メージャー,,め
もやせる,ものさし,,も
もやせる,ラップ,,ら
もやせる,リングファイル,,り
もやせる,ロープ,ほどけないよう束ねて縛って、指定袋に入れて出してください。,ろ
もやせる,割り箸（木製以外）,,わ
もやせる,割れたびん,紙等に包み「注意」と明記して出してください。,わ
プラスチック製容器包装,買い物袋（プラ製）,リサイクルプラマークが表示してあるもの,か
プラスチック製容器包装,菓子袋（プラ製）,リサイクルプラマークが表示してあるもの,か
プラスチック製容器包装,菓子箱（プラ製）,リサイクルプラマークが表示してあるもの,か
プラスチック製容器包装,カップ麺の容器（プラ製）,リサイクルプラマークが表示してあるもの,か
プラスチック製容器包装,カップ麺のふた（プラ製）,リサイクルプラマークが表示してあるもの,か
プラスチック製容器包装,カップ麺のフィルム（プラ製）,リサイクルプラマークが表示してあるもの,か
プラスチック製容器包装,緩衝材（プラ製）,リサイクルプラマークが表示してあるもの,か
プラスチック製容器包装,薬の容器（アルミ・プラ製）,リサイクルプラマークが表示してあるもの,く
プラスチック製容器包装,コップ（プラマークあり）,リサイクルプラマークが表示してあるもの,こ
プラスチック製容器包装,米袋（プラマークあり）,リサイクルプラマークが表示してあるもの,こ
プラスチック製容器包装,酒パック（プラマークあり）,リサイクルプラマークが表示してあるもの,さ
プラスチック製容器包装,シャンプーの容器,リサイクルプラマークが表示してあるもの。水で軽く洗って出してください。,し
プラスチック製容器包装,食品トレー,リサイクルプラマークが表示してあるもの。スーパーなどの回収ボックスに出すこともできます。,し
プラスチック製容器包装,スナック菓子の袋,リサイクルプラマークが表示してあるもの。,す
プラスチック製容器包装,ゼリーのふた（プラ製）,リサイクルプラマークが表示してあるもの。,せ
プラスチック製容器包装,ゼリーの容器（プラ製）,リサイクルプラマークが表示してあるもの。,せ
プラスチック製容器包装,ソースの容器（プラ製）,リサイクルプラマークが表示してあるもの。,そ
プラスチック製容器包装,たばこのフィルム,リサイクルプラマークが表示してあるもの。,た
プラスチック製容器包装,卵のパック（プラ製）,リサイクルプラマークが表示してあるもの。,た
プラスチック製容器包装,調味料のプラ製容器,リサイクルプラマークが表示してあるもの。,ち
プラスチック製容器包装,家電製品の内・外箱（プラ製）,リサイクルプラマークが表示してあるもの。,て
プラスチック製容器包装,豆腐の容器,リサイクルプラマークが表示してあるもの。,と
プラスチック製容器包装,乳酸菌飲料の容器（プラ製）,リサイクルプラマークが表示してあるもの。,に
プラスチック製容器包装,入浴剤の容器（プラ製容器）,リサイクルプラマークが表示してあるもの。,に
プラスチック製容器包装,海苔の容器（プラ製）,リサイクルプラマークが表示してあるもの。きれいに洗って指定袋に入れて出してください。,の
プラスチック製容器包装,バターの容器（プラ製）,リサイクルプラマークが表示してあるもの。,は
プラスチック製容器包装,発泡スチロール,リサイクルプラマークが表示してあるもの。,は
プラスチック製容器包装,ハンドソープの容器,リサイクルプラマークが表示してあるもの。,は
プラスチック製容器包装,ハンバーガー等の容器（プラ製）,リサイクルプラマークが表示してあるもの。,は
プラスチック製容器包装,ビニール風呂敷,リサイクルプラマークが表示してあるもの。,ひ
プラスチック製容器包装,びんのふた（プラ製）,リサイクルプラマークが表示してあるもの。,ひ
プラスチック製容器包装,フィルム（ケース）,リサイクルプラマークが表示してあるもの。,ふ
プラスチック製容器包装,ペットボトルのラベル,リサイクルプラマークが表示してあるもの。,へ
プラスチック製容器包装,ペットボトルのふた,リサイクルプラマークが表示してあるもの。,へ
プラスチック製容器包装,弁当箱（プラマークのあるもの）,,へ
プラスチック製容器包装,芳香剤の容器,リサイクルプラマークが表示してあるもの。,ほ
プラスチック製容器包装,ボディソープの容器,リサイクルプラマークが表示してあるもの。,ほ
プラスチック製容器包装,マーガリンの容器,リサイクルプラマークが表示してあるもの。,ま
プラスチック製容器包装,目薬の容器,リサイクルプラマークが表示してあるもの。,め
プラスチック製容器包装,麺類の袋,リサイクルプラマークが表示してあるもの。,め
プラスチック製容器包装,ヨーグルトの容器とふた（プラ製）,リサイクルプラマークが表示してあるもの。,よ
プラスチック製容器包装,リンスの容器,リサイクルプラマークが表示してあるもの。,り
プラスチック製容器包装,冷凍食品の袋（プラ製）,リサイクルプラマークが表示してあるもの。,れ
プラスチック製容器包装,レジ袋,リサイクルプラマークが表示してあるもの。,れ
プラスチック製容器包装,割り箸の袋（プラ製）,リサイクルプラマークが表示してあるもの。,わ
紙製容器包装,買い物袋（紙製）,紙リサイクルマークが表示してあるもの,か
紙製容器包装,菓子袋（紙製）,紙リサイクルマークが表示してあるもの,か
紙製容器包装,菓子箱（紙製）,紙リサイクルマークが表示してあるもの,か
紙製容器包装,カップ麺の容器（紙製）,紙リサイクルマークが表示してあるもの,か
紙製容器包装,カップ麺のふた（紙製）,紙リサイクルマークが表示してあるもの,か
紙製容器包装,紙コップ（紙製）,紙リサイクルマークが表示してあるもの,か
紙製容器包装,緩衝材（紙製）,紙リサイクルマークが表示してあるもの,か
紙製容器包装,薬の容器（紙製袋）,紙リサイクルマークが表示してあるもの,く
紙製容器包装,コップ（紙マークあり）,紙リサイクルマークが表示してあるもの,こ
紙製容器包装,米袋（紙マークあり）,紙リサイクルマークが表示してあるもの,こ
紙製容器包装,酒パック（紙マークあり）,紙リサイクルマークが表示してあるもの,さ
紙製容器包装,ゼリーのふた（紙製）,紙リサイクルマークが表示してあるもの。,せ
紙製容器包装,ゼリーの容器（紙製）,紙リサイクルマークが表示してあるもの。,せ
紙製容器包装,たばこの箱・銀紙,紙リサイクルマークが表示してあるもの。,た
紙製容器包装,卵のパック（紙製）,紙リサイクルマークが表示してあるもの。,た
紙製容器包装,茶箱（紙製）,紙リサイクルマークが表示してあるもの。,ち
紙製容器包装,ティッシュペーパー紙箱,紙リサイクルマークが表示してあるもの。,て
紙製容器包装,家電製品の内・外箱（紙製）,紙リサイクルマークが表示してあるもの。,て
紙製容器包装,乳酸菌飲料の容器（紙製）,紙リサイクルマークが表示してあるもの。,に
紙製容器包装,入浴剤の容器（紙製）,紙リサイクルマークが表示してあるもの。,に
紙製容器包装,バターの容器（紙製）,紙リサイクルマークが表示してあるもの。,は
紙製容器包装,ハンバーガー等の容器（紙製）,紙リサイクルマークが表示してあるもの。,は
紙製容器包装,びんのふた（紙製）,紙リサイクルマークが表示してあるもの。,ひ
紙製容器包装,弁当箱（紙マークのあるもの）,,へ
紙製容器包装,包装紙,紙リサイクルマークが表示してあるもの。,ほ
紙製容器包装,ヨーグルトの容器とふた（紙製）,紙リサイクルマークが表示してあるもの。,よ
紙製容器包装,冷凍食品の箱（紙製）,紙リサイクルマークが表示してあるもの。,れ
紙製容器包装,割り箸の袋（紙製）,紙リサイクルマークが表示してあるもの。,わ
古紙・古着,衣類,中身が確認できるポリ袋に入れて「古着」と明記して出してください。,い
古紙・古着,カタログ,サンプル等紙以外の物は取り除いてください,か
古紙・古着,革ジャンパー,中身が確認できるポリ袋に入れて出してください。,か
古紙・古着,着物,中身が確認できるポリ袋に入れて「古着」と明記してください。,き
古紙・古着,牛乳パック,水洗いして切り開き、乾燥させて出してください。,き
古紙・古着,広告チラシ,ひもで十文字にしばって出してください。,こ
古紙・古着,米袋（紙・マークなし）,ひもで十文字にしばって出してください。,こ
古紙・古着,酒パック（紙パックマークあり）,マークが表示してあるもの,さ
古紙・古着,雑誌,ひもで十文字にしばって出してください。,さ
古紙・古着,辞書,ひもで十文字にしばって出してください。,し
古紙・古着,シュレッダー古紙,中身が確認できるポリ袋に入れて出してください。,し
古紙・古着,障子紙,雑誌などと一緒にひもで十文字にしばって出してください。,し
古紙・古着,新聞紙,十文字にしばって出してください。,し
古紙・古着,セーター,中身が確認できるポリ袋に入れて「古着」と明記して出してください。,せ
古紙・古着,単行本,ひもで十文字にしばって出してください。,た
古紙・古着,ダンボール,ひもで十文字にしばって出してください。,た
古紙・古着,チラシ,ひもで十文字にしばって出してください。,ち
古紙・古着,トイレットペーパーの芯,雑誌などにはさみ、ひもで十文字にしばって出してください。,と
古紙・古着,はがき,雑誌などにはさみひもで十文字にしばって出してください。,は
古紙・古着,便箋,雑誌などにはさみ、ひもで十文字にしばって出してください。,ひ
古紙・古着,封筒,雑誌などにはさみ、ひもで十文字に縛って出してください。,ふ
古紙・古着,本,ひもで十文字に縛って出してください。,ほ
古紙・古着,ゆかた,中身が確認できるポリ袋に入れて「古着」と表示して出してください。,ゆ
古紙・古着,洋服,中身が確認できるポリ袋に入れて「古着」と表示して出してください。,よ
古紙・古着,ラップの芯,雑誌などにはさみ、ひもで十文字に縛って出してくさい。,ら
古紙・古着,和服,中身の確認できるポリ袋に入れて「古着」と明記して出してください。,わ
金属,アイロン,,あ
金属,空き缶（飲食用以外）,中身を使い切り、金属袋に入れて金属の日に出してください。,あ
金属,あんか（金属）,,あ
金属,一斗缶（飲食用以外）,中身を使い切って出してください。,い
金属,鋳物類,,い
金属,MDプレーヤー,,え
金属,オイル缶,中身を使い切ってください。,お
金属,おもちゃ（金属製）,,お
金属,傘,,か
金属,加湿器,,か
金属,ガス釜,,か
金属,ガスコンロ,,か
金属,カセットコンロ,,か
金属,カセットテープレコーダー,,か
金属,カセットデッキ,,か
金属,カセットボンベ,できるだけ穴を開けて出してください。,か
金属,缶（飲食用以外）,中身を使い切って出してください。,か
金属,乾電池,充電式電池・ボタン電池は市で収集できませんので、販売店にお返しください。,か
金属,金庫（手提げ用）,,き
金属,クリップ（金属製）,,く
金属,携帯電話,,け
金属,計量カップ（金属製）,,け
金属,コップ（金属製）,,こ
金属,CDプレーヤー,,し
金属,食器（金属製）,,し
金属,水筒,金属製以外のものはもやせるごみ。,す
金属,スケール（金属製）,,す
金属,ステープラー,,す
金属,ストーブ,灯油・乾電池は抜き取ってください。,す
金属,スプレー缶,できるだけ穴をあけて出してください。,す
金属,扇風機,,せ
金属,掃除機,,そ
金属,杖（金属製）,,つ
金属,使い捨てライター,中身を使い切ってください。,つ
金属,電気コンロ,,て
金属,電気炊飯ジャー,,て
金属,電卓,,て
金属,電話機,,て
金属,時計,,と
金属,塗料缶,中身を使い切ってください。,と
金属,塗料スプレー,中身を使い切ってください。,と
金属,なべ,,な
金属,なべのふた（金属製）,,な
金属,はさみ,,は
金属,箸（金属製）,,は
金属,ハロゲンヒーター,,は
金属,びんのふた（金属製）,,ひ
金属,へアースプレイ,できるだけ穴をあけて出してください。,へ
金属,ヘアードライヤー,,へ
金属,弁当箱（金属製）,,へ
金属,ミシン,,ま
金属,メガネ（金縁）,,め
金属,やかん,,や
金属,ライター,,ら
金属,ラジオ,,ら
